input,output,meaning,pos,num_cognates
[hit] 𒀀𒄿𒅖 [xlu] 𒀀𒀀𒀸𒊭 [sga] á [san] आस् [ave] 𐬁𐬵 [ave] 𐬇𐬆𐬃𐬢𐬵𐬁 [lat] ōs,*h₁óh₃s,mouth,noun,7
[lav] liêgs [lit] leñgvas [lit] lengvùs [cym] llaw [bre] law [grc] ἐλαχύς [lat] levis,*h₁léngʰus,"lightweight, easy (moving), nimble",adj,12
[grc] ἐλαφρός [fas] لاغر,*h₁ln̥gʷʰrós,lightweight,adj,2
[ell] -τρια [san] -त्री [ave] -𐬚𐬭𐬍 [ave] 𐬨𐬀𐬥𐬀𐬊𐬚𐬭𐬍 [ave] 𐬨𐬀𐬥,*-trih₂,"Derives agent nouns from verbs, denoting someone or something who has performed the verb's action.",suffix,5
[lit] ri̇̀mti [sga] fo·ruimi [san] रामयति [ave] 𐬭𐬁𐬨𐬀𐬌𐬌𐬈𐬌𐬙𐬌 [lav] rāms [lit] ramùs [fas] آرام [ell] ήρεμος,*h₁rem-,to rest,root,9
[grc] εὖρος [san] वरस्,*h₁wer-,broad,root,2
[grc] εὐρύς [san] उरु [ave] 𐬬𐬊𐬎𐬭𐬎,*h₁wérus,broad,adj,3
[grc] ἄχος,*h₂égʰos,distress,noun,1
[xcl] արտի [grc] ἄγριος [san] अज्र्य,*h₂éǵr̥yos,"campestral, field (attributive), of or relating to fields",adj,3
[xcl] անձուկ [lit] ankštas [san] अंहु,*h₂énǵʰus,"narrow, tight",adj,3
[san] अनिति [ave] 𐬬𐬌𐬌𐬁𐬥𐬀𐬌𐬌𐬁 [fas] جان,*h₂énh₁ti,to breathe,verb,3
[sqi] rosë [lit] ántis [prg] antis [grc] νῆσσα [grc] νῆττα [grc] νᾶσσα [san] आति [lat] anas,*h₂énh₂ts,duck,noun,8
[hit] 𒄩𒀭𒍝 [grc] ἄντα [grc] ἄντην,*h₂énts,"forehead, front",noun,3
[san] युवश,*h₂yuHn̥ḱós,young,adj,1
[got] *𐌾𐌿𐌽𐌳𐌰 [got] 𐌾𐌿𐌽𐌳𐌰𐌹 [lat] iuventa,*h₂yuHn̥téh₂,youth,noun,5
[sga] forbrú [grc] ὀφρύς [grc] ὀφρῦς,*h₃bʰrúHs,eyebrow,noun,3
[lat] unguen [eng] omentum [ita] omento [spa] omento [san] आञ्जन,*h₃éngʷn̥,"fat, butter",noun,8
[hit] 𒄩𒀀𒊏𒀸 [sqi] orr [sqi] orrll [hye] որոր [bre] erer [cym] eryr [gle] iolar [gla] iolair [ell] όρνιθα [ell] όρνεο [ell] όρνιο,*h₃érō,eagle,noun,12
[hit] 𒄩𒀸𒁺𒂊𒅕 [hye] ոստ [ell] όζος,*h₃ósdos,"branch, twig",noun,4
[grc] κμέλεθρα [lat] camur [san] क्मर॑ति [ave] 𐬐𐬀𐬨𐬀𐬭𐬁 [fas] کمر [fas] کمرا [xcl] կամար [grc] καμάρα [grc] καμαρίς [grc] κανθός [grc] κάμῑνος [grc] καμπή [grc] κάμπη [lat] campus [lit] kam̃pas [grc] κάμπτω [grc] καμψός [san] कम्पते,*kh₂em-,"to bend, to curve, to smooth",root,20
[lat] columen [lat] culmen [lat] columna [san] कूल [isl] halli [lat] collis [lat] callum [lat] callus [lav] kal̂ns [lit] kálnas [grc] κολωνός [grc] κολώνη [lav] kalva [lit] kalvà [grc] κολοφών [lav] cel̂t [lit] kélti [lit] ki̇̀lti [xto] käly- [txb] käly-,*kelH-,"to rise, to be tall, hill",root,20
[hit] 𒅗𒀀𒀭𒆠 [san] शङ्कते [san] शङ्कयति [lat] cū̆nctor [san] शङ्का,*ḱenk-,to hang,root,6
[ell] κρέας [san] क्रविस् [lat] cruor,*kréwh₂s,blood,noun,3
[lat] dolō [lat] doleō [lav] dalīt [lit] dalyti [hit] ta-al-li-ya [lyc] 𐊗𐊁𐊍𐊆𐊜𐊀 [lat] dolor [grc] δαίδαλος [grc] δαιδάλεος [grc] δαιδάλλω [cym] delw [gle] dealbh [gla] dealbh [xcl] ատաղձ [lat] dolium [san] दल [san] दाल,*delh₁-,"to split, divide",root,19
[san] वाञ्छति [san] वनोति [lat] venus [lat] Venus [san] वनस् [lat] venēnum [sqi] vuaj [sqi] uni [sqi] uri,*wenh₁-,to love,root,9
[grc] οἴφω,*h₃yébʰeti,"to copulate, have sex",verb,1
[grc] ζευκτός [san] युक्त [ave] 𐬫𐬎𐬑𐬙𐬀,*yugtós,"yoked, joined",adj,3
[hye] աղբյուր [grc] φρεῖᾰρ [san] भुर्वन्,*bʰréh₁wr̥,"well, spring, source",noun,5
[cel] Magios [sga] maige [grc] μείζων [lat] maior [lat] magis,*méǵh₂yōs,"bigger, greater",adj,7
[san] तवीति [san] तूतोत् [san] तूतो [old] 𐎫𐎠𐎺𐎹𐎫𐎹 [old] 𐎠𐎫𐎠𐎺𐎹𐎶 [grc] ἐτάζω [lat] tueor [lat] tōmentum [old] 𐎫𐎢𐎶𐎠 [old] 𐎫𐎢𐎶𐎴𐎡𐏁𐎡𐎹 [grc] ἐτεός [ave] tauuah [gle] túaim [san] तवीयस् [old] 𐎫𐎢𐎻𐎡𐎹𐎠 [san] तवस्वान् [san] तवस्य [lat] tōtus [grc] σάθη [grc] σάλος [non] þúfa [grc] τῡ́φη [lat] prōtūberō [lat] extūberō [grc] σάμος [lat] tama [lav] tūte [san] तुर [lat] obtūrō [lat] rētūrō [lat] turgeō [lat] tūtus [old] 𐎬𐎵𐎢𐎺𐎫𐎶 [grc] σάος [grc] σῶς [grc] ἐτήτυμος [san] तूतुम [sqi] tërë [sqi] tanë [xcl] թոյն [lit] tvi̇̀nti [lit] čiūtys [lit] tvãnas,*tewh₂-,"to swell, grow fat, to become strong",root,45
[lat] maceō [bre] maezhur [bre] magañ [mid] magu [sga] doformaig [hit] 𒈠𒀝𒆷𒀭𒋫𒀭 [ave] 𐬨𐬀𐬯𐬌𐬱𐬙𐬀 [old] maθišta- [cym] maeth [lat] mactus [lat] mactō,*meh₂ḱ-,"to raise, increase, long",root,11
[bre] keuz [cym] cawdd [ave] 𐬯𐬁𐬛𐬭𐬀,*ḱeh₂d-,"hatred, angriness",root,4
[lat] -ātus,*-eh₂tos,"Forms adjectives from nouns, indicating the possession of a thing or a quality.",suffix,1
[san] रुधिर,*h₁rudʰrós,red,adj,1
[san] आकुवते [lit] kavoti [hye] ցույց [grc] θυο-σκόος [sqi] qyr [grc] κῦδος [san] आकूत,*(s)kewh₁-,"to perceive, to observe",root,7
[xcl] ակն [xcl] յաւն [lav] acs [lit] aki̇̀s [prg] ackis [grc] ὄψ [grc] ὤψ [san] अनक्ष् [xto] ak [txb] ek [sqi] sy [xcl] աչք [grc] ὄσσε,*h₃ókʷs,eye,noun,14
[sqi] pordhë [sqi] pjerdh [lav] pir̂st [lit] pérsti [ell] πέρδομαι [san] पर्दते [ave] 𐬞𐬆𐬭𐬆𐬜𐬀𐬌𐬙𐬌,*pérdetor,to be farting,verb,9
[san] ज्वलति [lit] žvi̇̀lti [gle] gual [gla] gual,*ǵwelH-,"to burn, to shine",root,4
[grc] πέρθω [lav] bãrt [lit] bárti [sqi] bie [sqi] bjerr [sqi] djerr [sqi] dëbjerr [sqi] vdjerr [sqi] dzjerr [lat] feriō [lat] forō [hye] բերան [goh] bora [sga] barae [ang] bor [lit] bùrtis [lav] burts [lit] bùrtas [sqi] birë [sqi] brimë [hye] բիր [san] श्वभ्र,*bʰerH-,"to pierce, to strike",root,24
[lit] bė́ras [lav] bȩ̃rs [grc] φρῡ́νη [hin] भूरा [xcl] բորենի,*bʰerH-,brown,root,6
[fra] Bourgogne [eng] Burgundy,*bʰérǵʰonts,high,adj,2
[hit] -𒀭𒍝 [lit] -ąs [lit] -antis [grc] -ων [san] -अन्त् [ave] -𐬀𐬧𐬙 [fas] ـنده [xcl] -անդակ [lat] -ns [lat] -ēns [lat] -āns [lat] -iēns,*-onts,"Forms adjectives from Caland system roots., Ending of the present active participle of verbs.",suffix,18
[hye] ծերուն [hye] ծերունի [ell] γέροντας [ell] γέρος [eng] geronto- [fra] géronto- [ita] geronto-,*ǵérh₂onts,old,adj,7
[hit] ú-e-ek-zi [hit] ú-ek-zi [san] वष्टि [san] उशन्ति [ave] 𐬬𐬀𐬱𐬙𐬍 [hit] ú-e-wa-ak-ki [san] ववक्षि [grc] ἑκών [san] उशन्त् [grc] ἕκηλος [grc] εἰκῇ [ave] 𐬬𐬀𐬯𐬀𐬵 [ave] 𐬭𐬈-𐬎𐬎𐬀𐬯𐬥𐬀 [old] 𐎺𐏁𐎴 [xcl] վասն [grc] ἕκητι,*weḱ-,"to wish, to want",root,25
[xcl] գինդ [sqi] unazë [grc] ἴονθος [san] वन्धुर [san] बन्धुर [xcl] վանդակ [eng] windle,*wendʰ-,"to wind, to turn",root,7
[lav] rist [lit] ri̇̀sti [lav] rìest [lit] riẽsti [lit] riečiù [lit] rietė́ti,*wreyt-,to twist,root,6
[prg] perrēist [ave] 𐬎𐬭𐬎𐬎𐬌𐬯𐬌𐬀 [fas] رشتن [lit] ri̇́eša [lat] rīca [grc] ῥικνός [lit] ri̇́ešas [grc] ῥοικός [san] व्रेशी,*wreyḱ-,"to twist, to bend",root,9
[ang] fræc [mid] vrac [cym] rhewydd,*preg-,"to yearn, to covet",root,3
[lat] rotundus [lat] rota [sqi] rreth [cym] Rhys,*Hreth₂-,to run,root,4
[san] मदति [san] मदते [ave] 𐬨𐬀𐬛𐬀𐬌𐬙𐬈 [bre] mezañ [cym] maeddu [sga] maidid [sga] ro·mmemaid [san] ममाद [lat] madeō [san] मादयति [grc] μᾰδᾰρός [san] मदिर [xcl] մատաղ [xcl] մաճառակ [pol] mada [grc] μᾰδάω,*meh₂d-,"to be wet, to become wet",root,16
[xcl] մօտ [hye] մատչել,*meh₂d-,"to meet, approach, encounter",root,2
[san] जेष् [san] जितम् [san] जिगाय [san] जय [san] जित,*gʷey-,"to win, to conquer, force",root,5
[grc] πλῆτο [grc] πλῆντο [sqi] pjell [grc] πιλνάω [grc] πίλνᾰμαι [lat] appellō [lat] compellō [lat] interpellō [grc] πεπλημένος [lat] pepulī [grc] πέλᾰς [grc] πελάτης [grc] πελάτις [grc] πλᾶτις [grc] πλησίος [grc] πλήτης,*pelh₂-,to approach,root,18
[grc] σῠννέφει [grc] σῠννέφω [grc] σῠννένοφᾰ [grc] νεφέλη [lat] nebula [ave] 𐬥𐬀𐬞𐬙𐬀 [pus] nūnd [pus] nūmd [old] *naftah [lat] Neptūnus,*nebʰ-,"to become damp, cloudy",root,10
[grc] νεφρός,*negʷʰrós,kidney,noun,1
[sga] snaïd [sga] -sná [san] स्नाति,*(s)néh₂ti,"to swim, to be swimming",verb,3
[grc] σκώψ,*spéḱs,"watcher, spy",noun,1
[hit] 𒄷𒌌𒇷𒄑𒍣 [sga] follnaithir [lit] veldėti [chu] власти [lav] vàldît [lit] valdýti [eng] wield [lit] valstybė [lav] valsts [lit] valdžia [lat] valeō [cym] gwaladr [xto] wäl [txb] walo [lat] volaemum [prg] weldisnan [chu] владь,*h₂welh₁-,"to rule, strong, powerful",root,23
[xcl] գեղմն [lat] vellus [ang] wlōh [lit] valai̇̃ [grc] λῶμα [grc] λάχνη [grc] λάχνος [grc] λάσιος [lat] villus [lat] adūlor,*h₂welh₁-,hair; wool,root,10
[lav] raĩdît [lav] raîdît [lit] riedė́ti [sga] ríad [cel] rēda [lit] raidù [sga] réimm [sqi] rij [sqi] rîj [grc] ὀρῑ́νω [san] रिणाति [san] रीति [san] रय [fas] ریم [pus] rəma [pus] rima [lat] irrītō [san] रेतस् [lat] rīvus [mid] rin,*h₃reyH-,"to move, set in motion, to flow, stream (of water); to pour, rain, to boil, churn",root,24
[lav] dibȩns [lav] dubȩns [lit] dùgnas [prg] dubnas,*dʰubʰnós,deep,adj,8
[hit] 𒆪𒂗𒍣 [lyc] 𐊌𐊙𐊑𐊗𐊆 [xcl] ջնեմ,*gʷʰénti,"to be striking down, killing, slaying",verb,3
[lat] frustum [sqi] breshër [gle] bronn [gla] bronn [gla] pronn [sga] brosnae,*bʰrews-,to break,root,6
[hin] कीनना [fas] خریدن,*kʷrinéh₂ti,to buy,verb,6
[grc] ἀλίνω [san] लिनाति,*h₂linéHti,to be smearing,verb,2
[gle] achar [cym] ochr [grc] ὄκρις [san] अश्रि,*h₂óḱris,"top, protrusion, sharp edge, corner",noun,4
[sqi] ndjek [hit] 𒉿𒀜𒆪𒍖𒍣 [lav] tecêt [lit] tekė́ti [san] तक्ति [ave] 𐬙𐬀𐬑𐬱𐬈 [ave] 𐬟𐬭𐬀𐬙𐬀𐬗𐬀𐬌𐬙𐬌 [ave] 𐬟𐬭𐬀𐬙𐬀𐬗𐬌𐬧𐬙𐬌 [fas] تاختن [ave] 𐬙𐬁𐬗𐬀𐬌𐬌𐬈𐬌𐬧𐬙𐬌 [mid] tʾcynd [ave] 𐬙𐬀𐬗𐬌𐬧𐬙 [mid] 𐫎𐫉𐫀𐫗 [txb] cake [lav] tęks [sga] intech [san] तकु [san] तक्त [ave] 𐬙𐬁𐬗𐬀𐬌𐬝𐬐𐬎𐬱 [mid] tcyt [lav] taka [lit] tãkas [ave] 𐬙𐬀𐬐𐬀,*tekʷ-,"to run, to flow",root,58
[sqi] heci [sqi] eci [sqi] ecëj [hit] 𒄿𒀉 [xlu] 𒄿𒋾,*h₁éyti,"to go, to be going",verb,5
[bre] klun [cym] clun [nor] laun [grc] κλόνις,*ḱlównis,"buttocks, hip",noun,4
[san] मज्जयति [lav] mazgāt [lit] mazgóti [pol] mazgać [pol] Mozgawa [san] मग्न,*mesg-,"to dip, sink",root,10
[sga] con·oí [san] अवति [ave] 𐬀𐬎𐬎𐬁𐬨𐬍 [lat] iuvō [lat] iūtus [sqi] ndihmë [sqi] ndihmoj [san] अव्,*h₁ewH-,"to help, to assist, to protect",root,8
[lit] tašýti [san] तक्षयति [gle] tál [gla] tàl [lat] tēla [lat] tēlum [ang] þeox [deu] Dechse [ell] τέχνη [lat] techna [eng] techno- [san] तष्ट [ave] 𐬙𐬀𐬱𐬙𐬀 [mid] tšt' [mid] tʾšytk [fas] طاس [hye] տաշել [lat] testa [sqi] tollë [sqi] teshë,*tetḱ-,"to create, produce, to cut, hew",root,23
[grc] τέκον [grc] ἔτεκον [grc] τέτοκα [grc] τίκτω [grc] τέκνον [grc] τέκος [grc] τοκεύς,*teḱ-,"to sire, beget",root,7
[lav] tikt [lit] tèkti [bre] tizaff [sga] techtaid [sga] techt [grc] Τεκτόσαγες [lat] Tectosages [lat] Tectosagae [grc] κτάομαι [grc] κτέανον [grc] κτῆμα [grc] κτῆνος [grc] κτῆσις [san] क्षयति [fas] شاه [gle] taca [gla] taca,*tek-,"to take by the hand, to receive, obtain",root,21
[hye] թեքել [hit] 𒈭𒆠𒅖𒍣 [lat] texō [xcl] թեզան,*tek-,to weave,root,5
[sqi] liqen [sqi] lëken [grc] λάκκος [lat] lacus,*lókus,,noun,4
[lat] cēveō,*keh₁w-,"to wobble, swing",root,1
[sqi] dhen [grc] γένεσις [san] जाति [old] 𐎢𐏀𐎫𐎡 [lat] gēns,*ǵénh₁tis,"birth, production",noun,5
[san] वेत्तृ [san] वेदितृ [lat] vīsor,*wéydtōr,"one who has seen, one who knows",noun,3
[grc] δώτωρ [lat] dator,*déh₃tōr,giver,noun,2
[lat] līquor [lat] pollingō [xto] lyīktsi [lat] liqueō [cym] gwlych [lat] lixa [lat] ēlixus [lat] prōlixus [txb] laikanaträ [txb] likṣan-,*wleykʷ-,"moist, to wet",root,11
[grc] ὀρέγω [lat] regō,*h₃réǵeti,"to be straightening, to be setting upright",verb,2
[hit] 𒆷𒀀𒄷𒄿 [xlu] lā(ḫ)un(a)i- [sqi] laj [grc] λούω [grc] λοέω [grc] λόω [xcl] լոգանամ [xcl] լուանամ,*lewh₃-,to wash,root,8
[hit] 𒂊𒃷 [lit] yžià,*h₁eyg-,"ice, frost",root,2
[hit] 𒃰𒁺,*kéh₃tus,fight,noun,1
[grc] κότος [chu] котора [san] शत्रु,*keh₃-,to fight,root,3
[lat] glaber [sqi] gledhë,*gʰleh₂dʰ-,"bright, shining, smooth",root,2
[grc] χλιαίνω [ang] gleomu [old] glīmo [goh] glīmo [goh] gleimo [goh] glīm [eng] glim [cym] try-lwyn [sga] gléinech [isl] gljá [lit] žlėjà [cym] glwys [sga] glésse [sga] glése [sga] gléisse [sga] gléise [cel] glīso- [ang] glisnian [nor] glisna [swe] glesna [ang] glitenian [deu] glitzen [grc] χλιδή,*ǵʰley-,to shine,root,24
[mid] trefn [lit] trobà [lav] trāba [lat] trabs [lav] trabs [sqi] trevë,*treb-,"settlement, dwelling, to build, dwell",root,6
[cym] tair [sga] teoir [cel] tiđres [san] तिस्रः [ave] 𐬙𐬌𐬱𐬭𐬋,*tisres,feminine nominative/vocative of *tréyes,num,5
[lit] magė́ti [prg] massi,*(me)mógʰe,"to have power, to be able to",verb,2
[hit] 𒆠𒄿 [lit] šè [chu] се,*ḱe,"Deictic particle, here, Post-positional demonstrative particle, this",particle,3
[grc] τέταμαι [san] ततान,*tetóne,"to be stretched, extended",verb,2
[hye] զգեստ [got] 𐍅𐌰𐍃𐍄𐌹,*wéstis,"the act of dressing, clothing",noun,2
[san] क्रूर [ave] 𐬑𐬭𐬏𐬛𐬀 [lat] crūdus,*kruh₂rós,bloody,adj,3
[gmy] 𐀲𐀨𐀐𐀹(𐀊) [san] द्राघते,*dʰreh₂gʰ-,"to irritate, rough",root,2
[san] मृति [ave] 𐬨𐬆𐬭𐬆𐬌𐬙𐬌,*mértis,death,noun,2
[sqi] urtë,*weh₁ros,true,adj,1
[san] तनस् [lat] tenus [lat] tenor [lat] tener,*ténos,extension,noun,4
[gle] téad [gla] teud [bre] tant [cym] tant [grc] τᾰτός [san] तत [lat] tentus,*tn̥tós,"stretched, extended",adj,11
[non] þund [non] þind [grc] τᾰ́σις [san] तति [san] तन्ति [txb] tant,*téntis,extension,noun,8
[lit] tãnas [san] तान,*tónos,"something stretched, chord, fiber, string",noun,2
[ave] -𐬯𐬙𐬁𐬌𐬌𐬁 [old] 𐎠𐎿𐎫𐎹𐎶,*stoh₂éyeti,to cause to stand,verb,2
[grc] δοτός [san] दात [old] 𐎭𐎠𐎫𐎶 [ave] 𐬛𐬁𐬙𐬀 [lat] datus,*dh₃tós,given,adj,5
[grc] τρομέω [ell] τρόμος [txb] tremi [grc] τρομός,*trem-,to tremble (in fear),root,4
[san] क्षेषत् [lat] sīrīs [grc] κτῐ́σῐς [lat] sinō [lat] pōnō [grc] ἐϋκτίμενος [gmy] 𐀑𐀴𐀕𐀙 [ave] 𐬱𐬀𐬌𐬌𐬀𐬥𐬀 [xcl] շէն [san] क्षिति [ave] 𐬱𐬌𐬙𐬌 [grc] κτῐ́λος [grc] θεόκτιτος [grc] πυρίκτιτος [gmy] 𐀟𐀪𐀑𐀴𐀲 [san] परिक्षित् [ave] 𐬀𐬥𐬀𐬱𐬌𐬙𐬀 [sqi] komb [grc] κώμη [hin] क्षेम,*tḱey-,"to cultivate, to settle, to live",root,24
[sqi] dysh [mid] zwis [grc] δίς [san] द्विस् [lat] bis,*dwís,"twice, doubly, in two",adv,5
[sqi] më [sqi] mbë [grc] ἀμφί [lat] ambi-,*h₂m̥bʰi,"around, on either side of, about, in exchange for, facing, to, towards, against",adv,4
[gmy] 𐀑𐀴𐀋𐀯,*tḱéyti,"to settle, to populate, to live, to dwell (i.e to be settled), to cultivate",verb,1
[grc] ὀμφή,*sengʷʰ-,"to recite, to sing",root,1
[lav] sekot [lav] sekt [lit] sèkti [grc] ἕπομαι [gmy] 𐀁𐀤𐀯𐀍 [grc] ἑπέτης [gmy] 𐀁𐀤𐀲 [lat] sequor,*sékʷetor,to be following,verb,8
[grc] ἔφθιτο [san] क्षिधी [san] क्षिणाति [ave] 𐬘𐬌𐬥𐬁𐬌𐬙𐬌 [grc] φθίνω [grc] φθινύθω [san] क्षिणोति [san] क्षीयते [hin] झीझना [ave] 𐬀𐬘𐬌𐬌𐬀𐬨𐬥𐬀 [ave] 𐬀𐬟𐬭𐬀𐬘𐬌𐬌𐬀𐬨𐬥𐬀 [old] 𐎪𐎡𐎹𐎶𐎴 [gmy] 𐀁𐀥𐀴𐀺𐀁 [lat] situs [grc] φθῐτός [san] क्षित [san] क्षि,*dʰgʷʰey-,"to decline, to perish",root,17
[lav] slidêt [lav] slîst [lit] slýsti [lav] slids [lit] slidùs [lat] lūbricus [san] स्रिध् [grc] ὀλισθάνω,*sleydʰ-,"to slip, slide, to be slippery, slick",root,8
[hit] 𒅖𒉺𒀀𒀭𒋾 [grc] σπένδω [lat] spōnsīs [hit] 𒅆𒉺𒀀𒀭𒋾 [lat] spepondī [lat] spopondī [txb] späntetär [txb] spantai [grc] σπονδή,*spend-,to libate,root,9
[lav] spiêst [lit] spę́sti [lat] pondus,*(s)pend-,to stretch,root,3
[sqi] pjek [grc] πέπων [xto] päk- [txb] päk-,*pékʷeti,"to be cooking, to ripen",verb,4
[hye] լիզել [lit] liẽžti [grc] λείχω [san] रेढि [san] रेळ्हि [san] लेढि,*léyǵʰti,to be licking,verb,24
[txb] pitke [txb] pittāk [lit] pýti [san] पियान [san] पीवस् [ave] 𐬞𐬍𐬎𐬎𐬀𐬵 [lav] piẽva [lit] pi̇́eva [grc] ποίη [grc] πόᾱ [nld] vei [lat] pinguis [grc] πῑμελή [lat] opīmus [san] पीन [san] पीत,*peyh₂-,"to swell (with milk), to be swollen, fat",root,17
[lav] kvêpêt [lit] kvė̃pti [san] कुप्यति [lat] cupiō [lav] kupêt [lit] kūpėti [lit] kvãpas [grc] καπνίζω [lat] vapor [grc] καπυρός [grc] κύπερος [sga] cobar [cel] cobro- [lit] kūpúoti [cym] peuo,*kwep-,"to smoke, to steam, to boil, aroma, strong odor",root,15
[grc] φυίω [grc] φύω [lat] fīō,*bʰuHyéti,"to be becoming, to be growing, to be appearing",verb,3
[xto] täṅk- [txb] täṅk- [lit] tingė́ti [lit] ti̇̀ngti [non] þyngja [lit] tingùs [non] þungr,*tengʰ-,"to pull (back), to be heavy, difficult",root,7
[hit] tars-ʰʰⁱ [sqi] ter [san] वि॒त॒र्षय॑ति,*torséyeti,"to make dry, to cause to dry",verb,3
[grc] ἔγνων [san] अज्ञात् [xto] kñā-,*ǵnéh₃t,"to know, to get to know, to meet",verb,3
[grc] βρέχμα [grc] βρεχμός [san] मस्तृहन्,*mregʰ-,brain,root,3
[lav] stenêt [lit] stenė́ti [grc] στένω [san] निष्टनन्ति [grc] στόνος [cym] sain,*sten-,to groan,root,6
[non] kjá [grc] γοάω [lit] gaũsti [lit] gaudžiù [lav] gaũst [lav] gaūžu [lit] gaudùs [lav] gàuds [lav] gaura [grc] γόος [goh] kūmo [ang] cyme [san] जोगुवे,*gewH-,"to call, name, to invoke, call on, to cry, cry out",root,13
[san] विपान [non] veifa [san] वेपयति [san] विविप्रे [lat] vibrō [ang] wāfian [lav] viẽptiês [lav] viêptiês [lav] vaîbît [lav] vaîbu [lav] viêbt [lav] viêbju [lav] viêbĩju [lav] vìepe [lav] viept [lav] viepju [lav] viepu [lit] viẽpti [lit] viẽpia [lit] viẽpē [lit] vaipī́tis [lit] vī́burti [lit] vī́buria [lit] vī́burē [lit] vi̇̀pti [lit] vim̃pa [lit] vi̇̀po [lit] vỹpti [lit] vỹpsta [lit] vỹpo [txb] wip- [txb] wīpäṣṣäṃ [txb] waipalau [txb] waiwalau [txb] waipe* [txb] waipe,*weyp-,"to shake, tremble, agitate, to swing, sway, to turn, wind, rotate, wrap (around)",root,37
[san] क्षिपति [san] क्षेपयति,*ksweybʰ-,"to move swiftly, make a swift movement, to swing, shake, to be swinging, to whip, cast, throw",root,2
